strain	accession	date	date_submitted		clade_membership	host	country	recency	lineage	region	author		GA_CT_fraction	dinuc_context_fraction
hMPXV/Austria/MUW1532243/2022	OP133006	7/6/22	8/3/22		IIb	Homo sapiens	Austria	Older		Europe	"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W."		1	
MpxV/human/CAN/UN-NML-2861/2022	ON803427	5/18/22	6/21/22		IIb	Homo sapiens	Canada	Older		North America	"Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J."			
Slovenia-MPXV-23-2022	OP605565	7/1/22	10/11/22		IIb	Homo sapiens	Slovenia	Older		Europe	"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T."			
MPXV_USA_2022_CA0057	OP451013	6/1/22	9/16/22		IIb	Homo sapiens	USA	Older		North America	"Gigante,C.M., Ventura,J., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y."		1	
MPXV_FVG-ITA_01_2022	ON644344	5/25/22	6/1/22		IIb	Homo sapiens	Italy	Older		Europe	"Licastro,D., DeGasperi,M., Negri,C., Piscianz,E., Koncan,R., Dal Monego,S., Segat,L., D'Agaro,P."			
Monkeypox/PT0350/2022	OP414379	5/24/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MN-MDH-MPXV_0002	OP597776	6/25/22	10/7/22		IIb	Homo sapiens	USA	Older		North America	"Plumb,M.R."			
MPX/PT0085/2022	OP245336	7/21/22	8/17/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."			
MPXV/Germany/2022/RKI161	ON959174	7/31/22	7/11/22		IIb	Homo sapiens	Germany	Older		Europe	"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A."		1	
Monkeypox/PT0335/2022	OP414365	5/29/22	9/12/22		IIb	Homo sapiens	Portugal	Older		Europe	"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P."		1	
