accession	strain_region_coarse_date
ON927243	MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_6/21/22	accession
OP205079	MPXV_UK_2022_9000074_WesternEurope_6/9/22	accession
OP205095	MPXV_UK_2022_9000107_WesternEurope_6/13/22	accession
ON619837	MPXV_UK_2022_3_WesternEurope_5/25/22	accession
OP414309	Monkeypox/PT0269/2022_SouthernEurope_6/15/22	accession
OP324486	Monkeypox/PT0171/2022_SouthernEurope_7/2/22	accession
OP324466	Monkeypox/PT0149/2022_SouthernEurope_7/6/22	accession
OP205136	MPXV_UK_2022_9000191_WesternEurope_7/4/22	accession
OP415185	MPX_wQMHV0_9000204_WesternEurope_7/1/22	accession
OP324502	Monkeypox/PT0188/2022_SouthernEurope_6/28/22	accession
OX336038	RNA_28dbof_CentralEurope_8/31/22	accession
OX291694	RNA_78gxlo_CentralEurope_8/1/22	accession
OQ121043	hMpxV/USA/CA-CDPH-1000090/2022_NorthAmerica_11/8/22	accession
OP615325	MPXV/Germany/2022/ON/RKI449_WesternEurope_9/1/22	accession
OX291780	RNA_5kn97x_CentralEurope_7/25/22	accession
OX291676	RNA_2u1axs_CentralEurope_8/1/22	accession
OP580156	MPXV/Human/USA/CA-CDPH-MPX000009/2022_NorthAmerica_6/30/22	accession
OP748950	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00264/2022_NorthAmerica_9/7/22	accession
OP442543	hMPX/Human/USA/CA-LACPHL-MA00067/2022_NorthAmerica_8/17/22	accession
OP373391	MPXV/Germany/2022/RKI333_WesternEurope_9/30/22	accession
OP415210	MPX_KMgssq_9000236_WesternEurope_7/1/22	accession
OP415211	MPX_KMgssq_9000237_WesternEurope_7/1/22	accession
OP414285	Monkeypox/PT0241/2022_SouthernEurope_6/21/22	accession
OP414341	Monkeypox/PT0307/2022_SouthernEurope_6/7/22	accession
OP245352	MPX/PT0119/2022_SouthernEurope_7/13/22	accession
OQ121027	hMpxV/USA/CA-CDPH-1000073/2022_NorthAmerica_11/6/22	accession
OP422342	hMPXV/Austria/MUW1539124/2022_WesternEurope_8/2/22	accession
OP422341	hMPXV/Austria/MUW1538395/2022_WesternEurope_8/1/22	accession
OP133007	hMPXV/Austria/MUW1536480/2022_WesternEurope_7/22/22	accession
OP555613	Monkeypox/PT0542/2022_SouthernEurope_8/23/22	accession
OP555584	Monkeypox/PT0512/2022_SouthernEurope_8/16/22	accession
OP594189	MPXV/Germany/2022/RKI425_WesternEurope_9/1/22	accession
OP484691	MPXV/Germany/2022/RKI370_WesternEurope_9/1/22	accession
OP484677	MPXV/Germany/2022/RKI356_WesternEurope_9/30/22	accession
OP605560	Slovenia-MPXV-18-2022_CentralEurope_7/31/22	accession
OP605574	Slovenia-MPXV-32-2022_CentralEurope_7/7/22	accession
OP605562	Slovenia-MPXV-20-2022_CentralEurope_7/31/22	accession
OP555646	Monkeypox/PT0575/2022_SouthernEurope_9/6/22	accession
OP555642	Monkeypox/PT0571/2022_SouthernEurope_9/5/22	accession
OP555636	Monkeypox/PT0565/2022_SouthernEurope_9/5/22	accession
OP555536	Monkeypox/PT0455/2022_SouthernEurope_8/4/22	accession
OP555555	Monkeypox/PT0476/2022_SouthernEurope_8/9/22	accession
OP555546	Monkeypox/PT0467/2022_SouthernEurope_8/5/22	accession
OP689656	MPXV/Germany/2022/ON/RKI503_WesternEurope_8/1/22	accession
OP680508	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00230/2022_NorthAmerica_10/3/22	accession
OP680507	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00229/2022_NorthAmerica_10/3/22	accession
OP415227	MPX_1bN2W6_9000258_WesternEurope_8/1/22	accession
OP415261	MPX_1bN2W6_9000321_WesternEurope_8/1/22	accession
OP415263	MPX_1bN2W6_9000324_WesternEurope_8/1/22	accession
OP022170	MPXV_UK_2022_5_WesternEurope_5/16/22	accession
OP415266	MPX_ElGfGw_9000328_WesternEurope_8/31/22	accession
OP205105	MPXV_UK_2022_9000142_WesternEurope_6/15/22	accession
OP245360	MPX/PT0127/2022_SouthernEurope_7/12/22	accession
OP324483	Monkeypox/PT0168/2022_SouthernEurope_7/3/22	accession
OP324460	Monkeypox/PT0139/2022_SouthernEurope_7/11/22	accession
OP555479	Monkeypox/PT0383/2022_SouthernEurope_7/12/22	accession
OP555469	Monkeypox/PT0373/2022_SouthernEurope_7/5/22	accession
OP555541	Monkeypox/PT0460/2022_SouthernEurope_8/4/22	accession
OP555513	Monkeypox/PT0426/2022_SouthernEurope_7/31/22	accession
OP881945	MPXV_USA_2022_FL0026_NorthAmerica_9/1/22	accession
OP879742	NJ-MPXV-024_NorthAmerica_7/8/22	accession
OP687939	MPXV_USA_2022_NY0029_NorthAmerica_7/8/22	accession
OP215260	MPXV/Germany/2022/RKI236_WesternEurope_8/31/22	accession
OQ159029	MPXV/Germany/2022/ON/RKI634_WesternEurope_8/2/22	accession
OP215271	MPXV/Germany/2022/RKI269_WesternEurope_8/2/22	accession
OP215209	MPXV/Germany/2022/RKI198_WesternEurope_8/31/22	accession
OP324459	Monkeypox/PT0136/2022_SouthernEurope_7/10/22	accession
OP748967	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00281/2022_NorthAmerica_10/18/22	accession
OP555658	Monkeypox/PT0591/2022_SouthernEurope_9/13/22	accession
OP642390	ANT-LDSP-ANT-MPX-24387-C_SouthAmerica_9/6/22	accession
OP642419	ANT-LDSP-ANT-MPX-25497E_SouthAmerica_9/14/22	accession
OP642413	ANT-LDSP-ANT-MPX-25341C_SouthAmerica_9/13/22	accession
OP642408	ANT-LDSP-ANT-MPX-25285O_SouthAmerica_9/13/22	accession
OP440599	hMPX/Human/USA/CA-LACPHL-MA00026/2022_NorthAmerica_7/21/22	accession
OP689687	MPXV/Germany/2022/RKI534_WesternEurope_9/1/22	accession
OQ159034	MPXV/Germany/2022/ON/RKI639_WesternEurope_8/31/22	accession
OP615334	MPXV/Germany/2022/ON/RKI464_WesternEurope_9/1/22	accession
OP743367	MPXV/Human/USA/UT-UPHL-82200237/2022_NorthAmerica_8/5/22	accession
OP722513	MPX/Human/USA/CA-LACPHL-MA00254/2022_NorthAmerica_10/11/22	accession
OQ159028	MPXV/Germany/2022/RKI633_WesternEurope_11/1/22	accession
OQ159054	MPXV/Germany/2022/ON/RKI659_WesternEurope_8/22/22	accession
OP588284	MPXV/Germany/2022/ON/RKI421_WesternEurope_9/1/22	accession
OP722494	MPX/Human/USA/CA-LACPHL-MA00235/2022_NorthAmerica_7/13/22	accession
OP303797	MPXV_USA_2022_VA0003_NorthAmerica_6/1/22	accession
OP378710	MPXV_USA_2022_VA0007_NorthAmerica_6/1/22	accession
OP743360	MPXV/Human/USA/UT-UPHL-82200060/2024_NorthAmerica_7/8/22	accession
OP378711	MPXV_USA_2022_VA0008_NorthAmerica_6/1/22	accession
OQ054231	MPXV_USA_2022_PA0010_NorthAmerica_9/1/22	accession
OP890544	MPXV/Human/USA/CA-LACPHL-MA00286/2022_NorthAmerica_10/4/22	accession
OP598104	MPXV/Human/USA/MA-USAFSAM-M0002/2022_NorthAmerica_9/13/22	accession
OP837473	VAC_INS_MPX_1054_L_SouthAmerica_10/25/22	accession
OP819948	VAC_INS_MPX_0952_C_SouthAmerica_10/15/22	accession
OP626118	MPXV/Germany/2022/RKI480_WesternEurope_7/1/22	accession
OP837334	MPXV/Germany/2022/RKI572_WesternEurope_6/22/22	accession
OP215284	MPXV/Germany/2022/RKI265_WesternEurope_8/31/22	accession
OP689659	MPXV/Germany/2022/ON/RKI506_WesternEurope_9/1/22	accession
OP215231	MPXV/Germany/2022/RKI189_WesternEurope_8/1/22	accession
OP144215	MPXV/ITM_pt_05/Belgium/30-May-2022_WesternEurope_5/30/22	accession
OP144213	MPXV/ITM_pt_24/Belgium/16-Jun-2022_WesternEurope_6/16/22	accession
OP144216	MPXV/ITM_pt_07/Belgium/30-May-2022_WesternEurope_5/30/22	accession
OP144211	MPXV/ITM_pt_10/Belgium/1-Jun-2022_WesternEurope_6/1/22	accession
OP144217	MPXV/ITM_pt_09/Belgium/2-Jun-2022_WesternEurope_6/2/22	accession
OP743984	MpxV/human/USA/WA-UW-090134/2022_NorthAmerica_9/1/22	accession
OP628472	MpxV/human/USA/WA-UW-087291/2022_NorthAmerica_8/1/22	accession
OP747056	MpxV/human/USA/WA-UW-095653/2022_NorthAmerica_9/1/22	accession
OP747062	MpxV/human/USA/WA-UW-106624/2022_NorthAmerica_10/1/22	accession
OP743976	MpxV/human/USA/WA-UW-096136/2022_NorthAmerica_9/2/22	accession
OP270476	MPXV/Germany/2022/RKI287_WesternEurope_8/31/22	accession
OP536720	MPXV-USA-IL-IDPH-059_NorthAmerica_7/6/22	accession
OP536717	MPXV-USA-IL-IDPH-056_NorthAmerica_7/9/22	accession
OP597781	MN-MDH-MPXV_0007_NorthAmerica_7/5/22	accession
OP820455	hMpxV/Human/USA/IL-RIPHL-MPXV_10006/2022_NorthAmerica_8/8/22	accession
OP390205	hMpxV/UK/LMO-046a/2022_WesternEurope_7/26/22	accession
OP890552	MPXV/Human/USA/CA-LACPHL-MA00294/2022_NorthAmerica_10/6/22	accession
OP819952	VAC_INS_MPX_0958_L_SouthAmerica_10/13/22	accession
OQ148474	LBMB-UTP_MP-025_VAC_SouthAmerica_11/15/22	accession
OP837471	VAC_INS_MPX_1052_E_SouthAmerica_10/25/22	accession
OP819957	VAC_INS_MPX_0965_HL_SouthAmerica_10/12/22	accession
OP819956	VAC_INS_MPX_0965_EL_SouthAmerica_10/12/22	accession
OP615323	MPXV/Germany/2022/ON/RKI447_WesternEurope_9/1/22	accession
OP681777	MpxV/human/USA/WA-UW-092113/2022_NorthAmerica_9/30/22	accession
OP628490	MpxV/human/USA/WA-UW-093570/2022_NorthAmerica_9/1/22	accession
OP442566	hMPX/Human/USA/CA-LACPHL-MA00077/2022_NorthAmerica_9/6/22	accession
OP920681	MPXV/Human/USA/CA-LACPHL-MA00343/2022_NorthAmerica_11/10/22	accession
OP748954	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00268/2022_NorthAmerica_9/30/22	accession
ON853670	MPXV/Germany/2022/RKI090_WesternEurope_6/1/22	accession
OP837344	MPXV/Germany/2022/RKI582_WesternEurope_6/1/22	accession
OP764618	MPXV/Germany/2022/RKI560_WesternEurope_6/1/22	accession
OP626119	MPXV/Germany/2022/RKI481_WesternEurope_7/31/22	accession
OP594200	MPXV/Germany/2022/RKI436_WesternEurope_9/1/22	accession
OP339855	MPXV/Germany/2022/RKI298_WesternEurope_8/22/22	accession
OP626107	MPXV/Germany/2022/RKI469_WesternEurope_7/31/22	accession
OP215237	MPXV/Germany/2022/RKI195_WesternEurope_8/1/22	accession
OP215233	MPXV/Germany/2022/RKI191_WesternEurope_8/1/22	accession
OP524010	MPXV/Germany/2022/RKI408_WesternEurope_9/30/22	accession
OP689663	MPXV/Germany/2022/ON/RKI510_WesternEurope_10/1/22	accession
OP615339	MPXV/Germany/2022/ON/RKI462_WesternEurope_9/30/22	accession
ON880544	MpxV/human/CAN/UN-NML-3363/2022_NorthAmerica_6/2/22	accession
ON880545	MpxV/human/CAN/UN-NML-3366/2022_NorthAmerica_6/2/22	accession
ON880547	MpxV/human/CAN/UN-NML-3441/2022_NorthAmerica_6/3/22	accession
OP013001	MpxV/human/CAN/UN-NML-2831/2022_NorthAmerica_5/14/22	accession
ON803423	MpxV/human/CAN/UN-NML-2851/2022_NorthAmerica_5/19/22	accession
OP013002	MpxV/human/CAN/UN-NML-3164/2022_NorthAmerica_5/29/22	accession
ON880523	MpxV/human/CAN/UN-NML-2898/2022_NorthAmerica_5/20/22	accession
ON880548	MpxV/human/CAN/UN-NML-3448/2022_NorthAmerica_6/3/22	accession
OP378701	MPXV_USA_2022_NY0028_NorthAmerica_6/30/22	accession
OP270022	MpxV/human/CAN/UN-NML-3972/2022_NorthAmerica_7/4/22	accession
OP879758	NJ-MPXV-044_NorthAmerica_7/21/22	accession
OP303791	MPXV_USA_2022_NE0001_NorthAmerica_6/19/22	accession
OP303792	MPXV_USA_2022_NE0002_NorthAmerica_7/1/22	accession
OP390179	BOL-UNIMOL-MPX-293015-L_SouthAmerica_8/24/22	accession
OP382485	hMPXV-IHU00008_WesternEurope_7/5/22	accession
OP205109	MPXV_UK_2022_9000146_WesternEurope_6/13/22	accession
OP394229	9000220_NCPV_1703_WesternEurope_5/14/22	accession
OP415277	MPX_znBYiF_9000350_WesternEurope_8/3/22	accession
OP415213	MPX_UbfBKN_9000239_WesternEurope_7/22/22	accession
OP415257	MPX_eunRrC_9000312_WesternEurope_8/1/22	accession
OP415267	MPX_rYdyAi_9000329_WesternEurope_8/1/22	accession
OP415212	MPX_UbfBKN_9000238_WesternEurope_7/22/22	accession
OQ172216	MPXV-683B_WesternEurope_9/12/22	accession
OP555520	Monkeypox/PT0435/2022_SouthernEurope_8/2/22	accession
OP555512	Monkeypox/PT0424/2022_SouthernEurope_8/1/22	accession
OP390190	hMpxV/UK/LMO-012a/2022_WesternEurope_6/21/22	accession
OP748952	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00266/2022_NorthAmerica_9/14/22	accession
OQ121022	hMpxV/USA/CA-CDPH-1000068/2022_NorthAmerica_7/14/22	accession
OP920684	MPXV/Human/USA/CA-LACPHL-MA00346/2022_NorthAmerica_10/5/22	accession
OP555605	Monkeypox/PT0534/2022_SouthernEurope_8/23/22	accession
OP555662	Monkeypox/PT0595/2022_SouthernEurope_9/16/22	accession
OP555645	Monkeypox/PT0574/2022_SouthernEurope_9/6/22	accession
OP324485	Monkeypox/PT0170/2022_SouthernEurope_7/3/22	accession
OP414307	Monkeypox/PT0267/2022_SouthernEurope_6/15/22	accession
OP555567	Monkeypox/PT0492/2022_SouthernEurope_8/11/22	accession
OP555656	Monkeypox/PT0588/2022_SouthernEurope_8/16/22	accession
OP555525	Monkeypox/PT0443/2022_SouthernEurope_8/2/22	accession
OP555651	Monkeypox/PT0580/2022_SouthernEurope_9/9/22	accession
OP555531	Monkeypox/PT0450/2022_SouthernEurope_8/4/22	accession
OP555638	Monkeypox/PT0567/2022_SouthernEurope_9/3/22	accession
OP555649	Monkeypox/PT0578/2022_SouthernEurope_9/12/22	accession
OP555639	Monkeypox/PT0568/2022_SouthernEurope_9/2/22	accession
OP580598	hMPX/USA/CA-LACPHL-MA00165/2022_NorthAmerica_8/1/22	accession
OP324453	Monkeypox/PT0129/2022_SouthernEurope_7/12/22	accession
ON694335	MPXV/Germany/2022/RKI018_WesternEurope_5/25/22	accession
OP693654	DC_INS_MPX_0722_L_SouthAmerica_8/23/22	accession
OP390175	BOL-UNIMOL-MPX-292803-L_SouthAmerica_8/2/22	accession
OP881932	ANT-LDSP-ANT-MPX-26250_SouthAmerica_9/26/22	accession
OP819950	MET_INS_MPX_0956_C_SouthAmerica_10/12/22	accession
OP623589	BOL-UNIMOL-MPX-293064-O_SouthAmerica_8/30/22	accession
OP959066	CES-UNIMOL-MPX-202203848-L_SouthAmerica_9/14/22	accession
OP623591	BOL-UNIMOL-MPX-293136-L_SouthAmerica_9/6/22	accession
OP623590	BOL-UNIMOL-MPX-293130-L_SouthAmerica_9/3/22	accession
OP494264	MPXV/Germany/2022/ON/RKI375_WesternEurope_9/30/22	accession
OP764616	MPXV/Germany/2022/RKI558_WesternEurope_6/30/22	accession
ON959135	MPXV_USA_2022_NY004_NorthAmerica_5/31/22	accession
ON959133	MPXV_USA_2022_NY002_NorthAmerica_5/15/22	accession
ON694342	MPXV/Germany/2022/RKI011_WesternEurope_5/15/22	accession
OP018604	MPXV/Germany/2022/RKI179_WesternEurope_7/31/22	accession
ON694330	MPXV/Germany/2022/RKI019_WesternEurope_5/31/22	accession
OP555644	Monkeypox/PT0573/2022_SouthernEurope_9/6/22	accession
OP494266	MPXV/Germany/2022/ON/RKI320_WesternEurope_9/1/22	accession
OP605553	Slovenia-MPXV-10-2022_CentralEurope_7/6/22	accession
OP382493	hMPXV-IHU00016_WesternEurope_7/22/22	accession
OP382492	hMPXV-IHU00015_WesternEurope_7/22/22	accession
OP687938	MPXV_USA_2022_NJ0005_NorthAmerica_8/31/22	accession
OP414362	Monkeypox/PT0331/2022_SouthernEurope_5/28/22	accession
ON843179	Monkeypox/PT0039/2022_SouthernEurope_6/2/22	accession
ON880538	MpxV/human/CAN/UN-NML-3336/2022_NorthAmerica_6/1/22	accession
ON585038	Monkeypox/PT0008/2022_SouthernEurope_5/15/22	accession
OP324544	Monkeypox/PT0236/2022_SouthernEurope_6/22/22	accession
OP414353	Monkeypox/PT0321/2022_SouthernEurope_6/4/22	accession
OP324498	Monkeypox/PT0183/2022_SouthernEurope_6/28/22	accession
OP555506	Monkeypox/PT0413/2022_SouthernEurope_7/26/22	accession
OP555574	Monkeypox/PT0500/2022_SouthernEurope_8/12/22	accession
OP555632	Monkeypox/PT0561/2022_SouthernEurope_8/31/22	accession
OP555607	Monkeypox/PT0536/2022_SouthernEurope_8/22/22	accession
OP185714	MPXV_USA_2022_CO0003_NorthAmerica_6/30/22	accession
OP390177	ATL-UNIMOL-MPX-292896-L_SouthAmerica_8/13/22	accession
ON803417	MpxV/human/CAN/UN-NML-2836/2022_NorthAmerica_5/17/22	accession
ON880532	MpxV/human/CAN/UN-NML-3253/2022_NorthAmerica_5/30/22	accession
ON880519	MpxV/human/CAN/UN-NML-2833/2022_NorthAmerica_5/13/22	accession
OP279041	MpxV/human/CAN/UN-NML-4125/2022_NorthAmerica_6/29/22	accession
OP279049	MpxV/human/CAN/UN-NML-4119/2022_NorthAmerica_7/4/22	accession
OP279044	MpxV/human/CAN/UN-NML-4142/2022_NorthAmerica_7/2/22	accession
OP279038	MpxV/human/CAN/UN-NML-4114/2022_NorthAmerica_6/27/22	accession
OP279047	MpxV/human/CAN/UN-NML-4152/2022_NorthAmerica_7/4/22	accession
ON880511	MpxV/human/CAN/UN-NML-3214/2022_NorthAmerica_5/30/22	accession
OP279042	MpxV/human/CAN/UN-NML-4138/2022_NorthAmerica_6/28/22	accession
OP279040	MpxV/human/CAN/UN-NML-4122/2022_NorthAmerica_7/3/22	accession
OP019277	hMPXV/Austria/MUW1531254/2022_WesternEurope_7/4/22	accession
OP279046	MpxV/human/CAN/UN-NML-4150/2022_NorthAmerica_7/5/22	accession
OP062229	MpxV/human/CAN/UN-NML-3817/2022_NorthAmerica_6/16/22	accession
OP270027	MpxV/human/CAN/UN-NML-4024/2022_NorthAmerica_7/5/22	accession
OP013010	MpxV/human/CAN/UN-NML-3607/2022_NorthAmerica_6/9/22	accession
OP270024	MpxV/human/CAN/UN-NML-3976/2022_NorthAmerica_7/4/22	accession
OP270025	MpxV/human/CAN/UN-NML-4014/2022_NorthAmerica_7/5/22	accession
OP062231	MpxV/human/CAN/UN-NML-3907/2022_NorthAmerica_6/27/22	accession
OP013006	MpxV/human/CAN/UN-NML-3542/2022_NorthAmerica_6/7/22	accession
ON880549	MpxV/human/CAN/UN-NML-3450/2022_NorthAmerica_6/3/22	accession
OP270023	MpxV/human/CAN/UN-NML-3975/2022_NorthAmerica_7/4/22	accession
OP062235	MpxV/human/CAN/UN-NML-3934/2022_NorthAmerica_6/30/22	accession
OP270021	MpxV/human/CAN/UN-NML-3971/2022_NorthAmerica_7/4/22	accession
OP226139	MpxV/human/CAN/UN-NML-4050/2022_NorthAmerica_7/11/22	accession
ON622718	MPXV/ES0001/HUGTiP/2022_SouthernEurope_5/20/22	accession
ON720849	MpxV/Spain/MD-HGUGM-6532064/2022_SouthernEurope_5/27/22	accession
OP442939	MpxV/human/USA/OH-UW-078962/2022_NorthAmerica_7/31/22	accession
OP681775	MpxV/human/USA/WA-UW-098497/2022_NorthAmerica_9/30/22	accession
OP477452	ANT-LDSP-ANT-MPX-23265-C_SouthAmerica_8/23/22	accession
OP459214	ANT-LDSP-ANT-MPX-23631-L_SouthAmerica_8/30/22	accession
OP390194	hMpxV/UK/LMO-026a/2022_WesternEurope_7/1/22	accession
OP215232	MPXV/Germany/2022/RKI190_WesternEurope_8/31/22	accession
OQ159039	MPXV/Germany/2022/ON/RKI644_WesternEurope_8/1/22	accession
OQ159035	MPXV/Germany/2022/ON/RKI640_WesternEurope_8/1/22	accession
OP626129	MPXV/Germany/2022/RKI491_WesternEurope_7/7/22	accession
OP555609	Monkeypox/PT0538/2022_SouthernEurope_8/23/22	accession
OP484679	MPXV/Germany/2022/RKI358_WesternEurope_9/1/22	accession
OP018603	MPXV/Germany/2022/RKI178_WesternEurope_7/31/22	accession
OP837347	MPXV/Germany/2022/RKI585_WesternEurope_6/19/22	accession
ON929089	MPXV/Germany/2022/RKI134_WesternEurope_7/1/22	accession
OP615321	MPXV/Germany/2022/ON/RKI445_WesternEurope_9/1/22	accession
ON755039	MPXV_IRBA22-11_WesternEurope_5/19/22	accession
OQ121020	hMpxV/USA/CA-CDPH-1000066/2022_NorthAmerica_7/15/22	accession
OP838893	ID6821_SouthernEurope_6/21/22	accession
OP382481	hMPXV-IHU00004_WesternEurope_7/4/22	accession
OP270026	MpxV/human/CAN/UN-NML-4017/2022_NorthAmerica_7/5/22	accession
OQ172215	MPXV-1047_WesternEurope_6/7/22	accession
OP382486	hMPXV-IHU00009_WesternEurope_7/7/22	accession
OP555622	Monkeypox/PT0551/2022_SouthernEurope_8/26/22	accession
OQ159056	MPXV/Germany/2022/ON/RKI661_WesternEurope_9/30/22	accession
OP555643	Monkeypox/PT0572/2022_SouthernEurope_9/5/22	accession
OP555661	Monkeypox/PT0594/2022_SouthernEurope_9/15/22	accession
OP555533	Monkeypox/PT0452/2022_SouthernEurope_8/4/22	accession
OP150925	MPXV_USA_2022_GA001_NorthAmerica_5/1/22	accession
ON780017	INMI-Pt4_SouthernEurope_5/21/22	accession
ON792322	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022_WesternEurope_6/2/22	accession
OP358276	SIC-AOUP-UNIPA_VL_9aug_SouthernEurope_8/9/22	accession
OP555650	Monkeypox/PT0579/2022_SouthernEurope_9/10/22	accession
OP414288	Monkeypox/PT0244/2022_SouthernEurope_6/21/22	accession
OP783902	hMPXV-CH-38347314/2022_WesternEurope_6/8/22	accession
ON959154	MPXV/Germany/2022/RKI137_WesternEurope_7/1/22	accession
OP303796	MPXV_USA_2022_NY0015_NorthAmerica_6/30/22	accession
ON637939	MPXV/Germany/2022/RKI02_WesternEurope_5/25/22	accession
OP205094	MPXV_UK_2022_9000106_WesternEurope_6/14/22	accession
ON959149	MPXV/Germany/2022/RKI140_WesternEurope_7/31/22	accession
OP415241	MPX_lBTTWI_9000279_WesternEurope_7/1/22	accession
OP204840	PatientMPXV_WesternEurope_6/10/22	accession
OP324494	Monkeypox/PT0179/2022_SouthernEurope_6/30/22	accession
OP205111	MPXV_UK_2022_9000148_WesternEurope_6/14/22	accession
OP324526	Monkeypox/PT0216/2022_SouthernEurope_6/24/22	accession
OP205098	MPXV_UK_2022_9000131_WesternEurope_7/5/22	accession
OP819959	SAN_INS_MPX_0971_L_SouthAmerica_10/11/22	accession
OP837472	CUN_INS_MPX_1053_L_SouthAmerica_10/27/22	accession
OP459211	ANT-LDSP-ANT-MPX-23596-O_SouthAmerica_8/29/22	accession
OP390195	hMpxV/UK/LMO-029a/2022_WesternEurope_7/7/22	accession
OP693653	DC_INS_MPX_0719_L_SouthAmerica_8/29/22	accession
OP693651	CUN_INS_MPX_0649_C_SouthAmerica_8/23/22	accession
OP693647	DC_INS_MPX_0082_L_SouthAmerica_8/8/22	accession
OQ197862	DC_INS_MPX-1119-H_SouthAmerica_10/24/22	accession
OQ197861	DC_INS_MPX-1118-H_SouthAmerica_10/20/22	accession
OQ148473	LBMB-UTP_MP-021_VAC_SouthAmerica_11/11/22	accession
OP642395	ANT-LDSP-ANT-MPX-24561-E_SouthAmerica_9/7/22	accession
OP642394	ANT-LDSP-ANT-MPX-24537-E_SouthAmerica_9/7/22	accession
OP819953	VAC_INS_MPX_0960_L_SouthAmerica_10/15/22	accession
OP819954	VAC_INS_MPX_0960_C_SouthAmerica_10/15/22	accession
OP837470	VAC_INS_MPX_1050_E_SouthAmerica_10/26/22	accession
OP837481	VAC_INS_MPX_1050_C_SouthAmerica_10/26/22	accession
OQ148468	LBMB-UTP_MP-014_VAC_SouthAmerica_11/11/22	accession
OP819951	VAC_INS_MPX_0957_HO_SouthAmerica_10/15/22	accession
OP819955	VAC_INS_MPX_0962_C_SouthAmerica_10/13/22	accession
OP819949	VAC_INS_MPX_0955_C_SouthAmerica_10/11/22	accession
OQ197863	DC_INS_MPX-1122-H_SouthAmerica_10/22/22	accession
OP642385	ANT-LDSP-ANT-MPX-24910-O_SouthAmerica_9/9/22	accession
OP320552	LIM-INS-012_SouthAmerica_7/6/22	accession
OP837476	DC_INS_MPX_0984_L_SouthAmerica_9/20/22	accession
OP819947	CUN_INS_MPX_0951_C_SouthAmerica_10/14/22	accession
OP320554	LIM-INS-016_SouthAmerica_7/9/22	accession
OP289783	LIM-INS-003_SouthAmerica_6/27/22	accession
OP320553	LIM-INS-013_SouthAmerica_7/8/22	accession
OP415224	MPX_3U0idu_9000254_WesternEurope_8/1/22	accession
OP693655	CUN_INS_MPX_0748_L_SouthAmerica_9/3/22	accession
OP431402	ANT-LDSP-ANT-MPX-22752-O_SouthAmerica_8/18/22	accession
OP320555	LIM-INS-021_SouthAmerica_7/9/22	accession
OP320551	LIM-INS-018_SouthAmerica_7/9/22	accession
OP320548	LIM-INS008_SouthAmerica_7/1/22	accession
OP320549	LIM-INS-010_SouthAmerica_7/2/22	accession
OP320550	LIM-INS-015_SouthAmerica_7/9/22	accession
OP289782	LIM-INS-001_SouthAmerica_6/25/22	accession
OP642404	ANT-LDSP-ANT-MPX-25258C_SouthAmerica_9/13/22	accession
OP642401	ANT-LDSP-ANT-MPX-24947E_SouthAmerica_9/12/22	accession
OP642380	ANT-LDSP-ANT-MPX-24725-L_SouthAmerica_9/8/22	accession
OP642375	ANT-LDSP-ANT-MPX-24590-C_SouthAmerica_9/7/22	accession
OP863230	hMpxV/USA/CA-CDPH-000056/2022_NorthAmerica_10/7/22	accession
OP863229	hMpxV/USA/CA-CDPH-000055/2022_NorthAmerica_10/7/22	accession
OP390189	hMpxV/UK/LMO-010a/2022_WesternEurope_6/21/22	accession
OP270029	MpxV/human/CAN/UN-NML-4057/2022_NorthAmerica_7/8/22	accession
ON880515	MpxV/human/CAN/UN-NML-3467/2022_NorthAmerica_6/2/22	accession
OP279033	MpxV/human/CAN/UN-NML-4094/2022_NorthAmerica_7/6/22	accession
ON880507	MpxV/human/CAN/UN-NML-3071/2022_NorthAmerica_5/27/22	accession
OP279035	MpxV/human/CAN/UN-NML-4103/2022_NorthAmerica_7/4/22	accession
ON880514	MpxV/human/CAN/UN-NML-3412/2022_NorthAmerica_6/4/22	accession
ON880510	MpxV/human/CAN/UN-NML-3193/2022_NorthAmerica_5/31/22	accession
ON880513	MpxV/human/CAN/UN-NML-3407/2022_NorthAmerica_6/4/22	accession
ON983167	MpxV/human/CAN/UN-NML-3725/2022_NorthAmerica_6/16/22	accession
ON803413	MpxV/human/CAN/UN-NML-2928/2022_NorthAmerica_5/21/22	accession
ON803414	MpxV/human/CAN/UN-NML-2930/2022_NorthAmerica_5/21/22	accession
OQ121037	hMpxV/USA/CA-CDPH-1000083/2022_NorthAmerica_6/13/22	accession
OP279034	MpxV/human/CAN/UN-NML-4097/2022_NorthAmerica_7/4/22	accession
OP586622	MpxV/human/CAN/UN-NML-3440/2022_NorthAmerica_6/6/22	accession
ON983164	MpxV/human/CAN/UN-NML-3558/2022_NorthAmerica_6/9/22	accession
OP390191	hMpxV/UK/LMO-022a/2022_WesternEurope_6/24/22	accession
