strain_region_coarse_date	accession	date	region_coarse	strain
Monkeypox/PT0133/2022_SouthernEurope_7/8/22	OP324456	7/8/22	Southern Europe	Monkeypox/PT0133/2022
MPXV/Germany/2022/RKI071_773ptn_WesternEurope_6/1/22	ON853657	6/1/22	Western Europe	MPXV/Germany/2022/RKI071_773ptn
Monkeypox/PT0034/2022_SouthernEurope_5/26/22	ON843169	5/26/22	Southern Europe	Monkeypox/PT0034/2022
CVR_MPXV1d_WesternEurope_5/15/22	ON808416	5/15/22	Western Europe	CVR_MPXV1d
MPXV/Germany/2022/RKI03_WesternEurope_5/1/22	ON682263	5/1/22	Western Europe	MPXV/Germany/2022/RKI03
MPXV/Germany/2022/RKI095_WesternEurope_6/1/22	ON853674	6/1/22	Western Europe	MPXV/Germany/2022/RKI095
Slovenia-MPXV-27-2022_CentralEurope_7/31/22	OP605569	7/31/22	Central Europe	Slovenia-MPXV-27-2022
MPXV_UK_2022_9000108_WesternEurope_6/14/22	OP205096	6/14/22	Western Europe	MPXV_UK_2022_9000108
Monkeypox/PT0002/2022_SouthernEurope_5/15/22	ON585030	5/15/22	Southern Europe	Monkeypox/PT0002/2022
MPX/Human/USA/CA-LACPHL-MA00139/2022_NorthAmerica_8/4/22	OP539924	8/4/22	North America	MPX/Human/USA/CA-LACPHL-MA00139/2022
Monkeypox/PT0397/2022_SouthernEurope_7/15/22	OP555493	7/15/22	Southern Europe	Monkeypox/PT0397/2022
MPX/PT0066/2022_SouthernEurope_7/27/22	OP245320	7/27/22	Southern Europe	MPX/PT0066/2022
MPX/PT0049/2022_SouthernEurope_8/1/22	OP245306	8/1/22	Southern Europe	MPX/PT0049/2022
INMI-Pt3_SouthernEurope_5/19/22	ON780016	5/19/22	Southern Europe	INMI-Pt3
MPXV/Germany/2022/RKI528_WesternEurope_7/1/22	OP689681	7/1/22	Western Europe	MPXV/Germany/2022/RKI528
MPX/UZ_REGA_1/Belgium/2022_WesternEurope_5/19/22	ON622712	5/19/22	Western Europe	MPX/UZ_REGA_1/Belgium/2022
Slovenia-MPXV-33-2022_CentralEurope_7/1/22	OP605575	7/1/22	Central Europe	Slovenia-MPXV-33-2022
MPXV-CH-38134631/2022_WesternEurope_5/19/22	ON595760	5/19/22	Western Europe	MPXV-CH-38134631/2022
Monkeypox/PT0302/2022_SouthernEurope_6/7/22	OP414336	6/7/22	Southern Europe	Monkeypox/PT0302/2022
MPX_o3VuSh_9000348_WesternEurope_8/31/22	OP415275	8/31/22	Western Europe	MPX_o3VuSh_9000348
Monkeypox/PT0449/2022_SouthernEurope_8/3/22	OP555530	8/3/22	Southern Europe	Monkeypox/PT0449/2022
MpxV/human/CAN/UN-NML-3486/2022_NorthAmerica_6/8/22	ON880518	6/8/22	North America	MpxV/human/CAN/UN-NML-3486/2022
MPXV_UK_2022_1_WesternEurope_5/1/22	ON619835	5/1/22	Western Europe	MPXV_UK_2022_1
MPXV/Germany/2022/RKI291_WesternEurope_8/1/22	OP339848	8/1/22	Western Europe	MPXV/Germany/2022/RKI291
MpxV/human/CAN/UN-NML-3086/2022_NorthAmerica_5/25/22	ON880525	5/25/22	North America	MpxV/human/CAN/UN-NML-3086/2022
Slovenia-MPXV-29-2022_CentralEurope_7/31/22	OP605571	7/31/22	Central Europe	Slovenia-MPXV-29-2022
Slovenia-MPXV-31-2022_CentralEurope_7/1/22	OP605573	7/1/22	Central Europe	Slovenia-MPXV-31-2022
MN-MDH-MPXV_0006_NorthAmerica_6/29/22	OP597780	6/29/22	North America	MN-MDH-MPXV_0006
MPX/PT0068/2022_SouthernEurope_7/25/22	OP245322	7/25/22	Southern Europe	MPX/PT0068/2022
MpxV/human/CAN/UN-NML-2844/2022_NorthAmerica_5/14/22	ON803419	5/14/22	North America	MpxV/human/CAN/UN-NML-2844/2022
MpxV/human/CAN/UN-NML-3165/2022_NorthAmerica_5/29/22	ON880531	5/29/22	North America	MpxV/human/CAN/UN-NML-3165/2022
Slovenia-MPXV-17-2022_CentralEurope_7/1/22	OP605559	7/1/22	Central Europe	Slovenia-MPXV-17-2022
Monkeypox/PT0044/2022_SouthernEurope_5/30/22	ON843182	5/30/22	Southern Europe	Monkeypox/PT0044/2022
MPX/human/USA/UT-UPHL-82200022/2022_NorthAmerica_5/20/22	ON627808	5/20/22	North America	MPX/human/USA/UT-UPHL-82200022/2022
MPXV/Human/USA/CA-LACPHL-MA00287/2022_NorthAmerica_10/4/22	OP890545	10/4/22	North America	MPXV/Human/USA/CA-LACPHL-MA00287/2022
Monkeypox/PT0404/2022_SouthernEurope_7/19/22	OP555500	7/19/22	Southern Europe	Monkeypox/PT0404/2022
Monkeypox/PT0398/2022_SouthernEurope_7/15/22	OP555494	7/15/22	Southern Europe	Monkeypox/PT0398/2022
Monkeypox/PT0148/2022_SouthernEurope_7/7/22	OP324465	7/7/22	Southern Europe	Monkeypox/PT0148/2022
hMPXV-IHU00001_WesternEurope_6/13/22	OP382478	6/13/22	Western Europe	hMPXV-IHU00001
MPXV/Germany/2022/RKI05_WesternEurope_5/1/22	ON682264	5/1/22	Western Europe	MPXV/Germany/2022/RKI05
MpxV/human/CAN/UN-NML-3348/2022_NorthAmerica_5/31/22	ON880542	5/31/22	North America	MpxV/human/CAN/UN-NML-3348/2022
ANT_INS_MPX_0039_L_SouthAmerica_7/29/22	OP693649	7/29/22	South America	ANT_INS_MPX_0039_L
MPXV/Germany/2022/RKI143_WesternEurope_7/1/22	ON959158	7/1/22	Western Europe	MPXV/Germany/2022/RKI143
Monkeypox/PT0589/2022_SouthernEurope_8/24/22	OP555657	8/24/22	Southern Europe	Monkeypox/PT0589/2022
Monkeypox/PT0256/2022_SouthernEurope_6/19/22	OP414297	6/19/22	Southern Europe	Monkeypox/PT0256/2022
MPX/PT0070/2022_SouthernEurope_7/26/22	OP245324	7/26/22	Southern Europe	MPX/PT0070/2022
MPXV_UK_2022_6_WesternEurope_5/1/22	OP022171	5/1/22	Western Europe	MPXV_UK_2022_6
Monkeypox/PT0174/2022_SouthernEurope_6/30/22	OP324489	6/30/22	Southern Europe	Monkeypox/PT0174/2022
Monkeypox/PT0173/2022_SouthernEurope_6/30/22	OP324488	6/30/22	Southern Europe	Monkeypox/PT0173/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00231/2022_NorthAmerica_10/4/22	OP680509	10/4/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00231/2022
NJ-MPXV-048_NorthAmerica_7/22/22	OP879762	7/22/22	North America	NJ-MPXV-048
Monkeypox/PT0346/2022_SouthernEurope_5/26/22	OP414375	5/26/22	Southern Europe	Monkeypox/PT0346/2022
hMPXV-IHU00017_WesternEurope_7/22/22	OP382494	7/22/22	Western Europe	hMPXV-IHU00017
MpxV/human/USA/WA-UW-089836/2022_NorthAmerica_8/1/22	OP310062	8/1/22	North America	MpxV/human/USA/WA-UW-089836/2022
MPXV_UK_2022_2_WesternEurope_5/31/22	ON619836	5/31/22	Western Europe	MPXV_UK_2022_2
hMPXV-IHU00007_WesternEurope_7/6/22	OP382484	7/6/22	Western Europe	hMPXV-IHU00007
hMPXV-CH-38212023/2022_WesternEurope_5/30/22	OP422245	5/30/22	Western Europe	hMPXV-CH-38212023/2022
Slovenia-MPXV-41-2022_CentralEurope_8/1/22	OP605582	8/1/22	Central Europe	Slovenia-MPXV-41-2022
MPXV_USA_2022_PA001_NorthAmerica_5/1/22	OP150926	5/1/22	North America	MPXV_USA_2022_PA001
CVR_MPXV1c_WesternEurope_5/15/22	ON808415	5/15/22	Western Europe	CVR_MPXV1c
Monkeypox/PT0344/2022_SouthernEurope_5/25/22	OP414373	5/25/22	Southern Europe	Monkeypox/PT0344/2022
MPXV_USA_2022_FL002_NorthAmerica_5/31/22	ON676704	5/31/22	North America	MPXV_USA_2022_FL002
INMI-Pt1_SouthernEurope_5/18/22	ON614676	5/18/22	Southern Europe	INMI-Pt1
MPXV/Germany/2022/RKI444_WesternEurope_9/1/22	OP594208	9/1/22	Western Europe	MPXV/Germany/2022/RKI444
Monkeypox/PT0233/2022_SouthernEurope_6/21/22	OP324541	6/21/22	Southern Europe	Monkeypox/PT0233/2022
MPXV_USA_2022_NY003_NorthAmerica_5/27/22	ON959134	5/27/22	North America	MPXV_USA_2022_NY003
Monkeypox/PT0577/2022_SouthernEurope_9/9/22	OP555648	9/9/22	Southern Europe	Monkeypox/PT0577/2022
MPX/2022/Canada/AB1_NorthAmerica_5/31/22	ON736420	5/31/22	North America	MPX/2022/Canada/AB1
hMpxV/UK/LMO-040a/2022_WesternEurope_7/17/22	OP390202	7/17/22	Western Europe	hMpxV/UK/LMO-040a/2022
MPXV_UK_2022_9000157_WesternEurope_7/7/22	OP205115	7/7/22	Western Europe	MPXV_UK_2022_9000157
hMpxV/Human/USA/IL-RIPHL-MPXV_10016/2022_NorthAmerica_10/4/22	OQ121960	10/4/22	North America	hMpxV/Human/USA/IL-RIPHL-MPXV_10016/2022
MpxV/human/USA/WA-UW-084449/2022_NorthAmerica_8/31/22	OP257267	8/31/22	North America	MpxV/human/USA/WA-UW-084449/2022
MPXV_UK_2022_9000167_WesternEurope_6/30/22	OP205123	6/30/22	Western Europe	MPXV_UK_2022_9000167
MPXV/Germany/2022/RKI037_WesternEurope_6/1/22	ON755243	6/1/22	Western Europe	MPXV/Germany/2022/RKI037
MPXV/Germany/2022/RKI592_WesternEurope_10/1/22	OP837354	10/1/22	Western Europe	MPXV/Germany/2022/RKI592
MPXV/Germany/2022/RKI571_WesternEurope_10/1/22	OP764629	10/1/22	Western Europe	MPXV/Germany/2022/RKI571
Monkeypox/PT0338/2022_SouthernEurope_5/26/22	OP414367	5/26/22	Southern Europe	Monkeypox/PT0338/2022
Monkeypox/PT0281/2022_SouthernEurope_6/9/22	OP414320	6/9/22	Southern Europe	Monkeypox/PT0281/2022
Monkeypox/PT0409/2022_SouthernEurope_7/25/22	OP555503	7/25/22	Southern Europe	Monkeypox/PT0409/2022
Monkeypox/PT0365/2022_SouthernEurope_6/27/22	OP414388	6/27/22	Southern Europe	Monkeypox/PT0365/2022
MpxV/human/CAN/UN-NML-3909/2022_NorthAmerica_6/27/22	OP062232	6/27/22	North America	MpxV/human/CAN/UN-NML-3909/2022
MpxV/human/CAN/UN-NML-3678/2022_NorthAmerica_6/13/22	OP013016	6/13/22	North America	MpxV/human/CAN/UN-NML-3678/2022
MpxV/human/USA/WA-UW-080994/2022_NorthAmerica_8/1/22	OP628440	8/1/22	North America	MpxV/human/USA/WA-UW-080994/2022
MpxV/human/USA/WA-UW-089183/2022_NorthAmerica_8/31/22	OP257265	8/31/22	North America	MpxV/human/USA/WA-UW-089183/2022
Monkeypox/PT0468/2022_SouthernEurope_8/5/22	OP555547	8/5/22	Southern Europe	Monkeypox/PT0468/2022
MPX/PT0109/2022_SouthernEurope_7/18/22	OP245343	7/18/22	Southern Europe	MPX/PT0109/2022
MPXV22/human/USA-OK-21_NorthAmerica_6/14/22	OP351278	6/14/22	North America	MPXV22/human/USA-OK-21
MpxV/human/CAN/UN-NML-3272/2022_NorthAmerica_5/31/22	ON880536	5/31/22	North America	MpxV/human/CAN/UN-NML-3272/2022
Monkeypox/PT0142/2022_SouthernEurope_7/7/22	OP324461	7/7/22	Southern Europe	Monkeypox/PT0142/2022
Monkeypox/PT0145/2022_SouthernEurope_7/7/22	OP324464	7/7/22	Southern Europe	Monkeypox/PT0145/2022
MPXV/Human/USA/CA-LACPHL-MA00350/2022_NorthAmerica_10/11/22	OP920688	10/11/22	North America	MPXV/Human/USA/CA-LACPHL-MA00350/2022
MPXV/Human/USA/CA-CDPH-MPX000025/2022_NorthAmerica_7/8/22	OP587254	7/8/22	North America	MPXV/Human/USA/CA-CDPH-MPX000025/2022
MPXV/Germany/2022/RKI353_WesternEurope_9/1/22	OP484674	9/1/22	Western Europe	MPXV/Germany/2022/RKI353
MPXV/Germany/2022/RKI188_WesternEurope_8/1/22	OP215204	8/1/22	Western Europe	MPXV/Germany/2022/RKI188
MPXV/Germany/2022/ON/RKI450_WesternEurope_9/1/22	OP615327	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI450
MPXV/Germany/2022/ON/RKI316_WesternEurope_9/1/22	OP494263	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI316
Monkeypox/PT0203/2022_SouthernEurope_6/23/22	OP324514	6/23/22	Southern Europe	Monkeypox/PT0203/2022
Monkeypox/PT0155/2022_SouthernEurope_7/6/22	OP324472	7/6/22	Southern Europe	Monkeypox/PT0155/2022
MPXV/Human/USA/CA-LACPHL-MA00362/2022_NorthAmerica_10/28/22	OP920700	10/28/22	North America	MPXV/Human/USA/CA-LACPHL-MA00362/2022
MPXV/Human/USA/CA-LACPHL-MA00357/2022_NorthAmerica_11/8/22	OP920695	11/8/22	North America	MPXV/Human/USA/CA-LACPHL-MA00357/2022
Monkeypox/PT0341/2022_SouthernEurope_5/27/22	OP414370	5/27/22	Southern Europe	Monkeypox/PT0341/2022
Monkeypox/PT0010/2022_SouthernEurope_5/15/22	ON585036	5/15/22	Southern Europe	Monkeypox/PT0010/2022
hMpxV/UK/LMO-032a/2022_WesternEurope_7/11/22	OP390197	7/11/22	Western Europe	hMpxV/UK/LMO-032a/2022
MPXV/Germany/2022/RKI276_WesternEurope_8/1/22	OP263631	8/1/22	Western Europe	MPXV/Germany/2022/RKI276
MPXV/Germany/2022/RKI430_WesternEurope_9/1/22	OP594194	9/1/22	Western Europe	MPXV/Germany/2022/RKI430
MPXV/Germany/2022/RKI263_WesternEurope_8/1/22	OP215282	8/1/22	Western Europe	MPXV/Germany/2022/RKI263
MPXV_USA_2022_CA007_NorthAmerica_6/1/22	OP150923	6/1/22	North America	MPXV_USA_2022_CA007
MPXV_USA_2022_CA002_NorthAmerica_5/1/22	ON954773	5/1/22	North America	MPXV_USA_2022_CA002
Monkeypox/PT0553/2022_SouthernEurope_8/26/22	OP555624	8/26/22	Southern Europe	Monkeypox/PT0553/2022
Monkeypox/PT0555/2022_SouthernEurope_8/29/22	OP555626	8/29/22	Southern Europe	Monkeypox/PT0555/2022
hMPXV/Austria/MUW1531848/2022_WesternEurope_7/5/22	OP133005	7/5/22	Western Europe	hMPXV/Austria/MUW1531848/2022
hMPXV/Austria/MUW1533374/2022_WesternEurope_7/11/22	OP133004	7/11/22	Western Europe	hMPXV/Austria/MUW1533374/2022
Monkeypox/PT0323/2022_SouthernEurope_6/4/22	OP414355	6/4/22	Southern Europe	Monkeypox/PT0323/2022
Monkeypox/PT0290/2022_SouthernEurope_6/14/22	OP414325	6/14/22	Southern Europe	Monkeypox/PT0290/2022
MPXV/Human/USA/CA-LACPHL-MA00340/2022_NorthAmerica_10/23/22	OP920678	10/23/22	North America	MPXV/Human/USA/CA-LACPHL-MA00340/2022
Slovenia-MPXV-25-2022_CentralEurope_7/31/22	OP605567	7/31/22	Central Europe	Slovenia-MPXV-25-2022
MPXV/Germany/2022/RKI364_WesternEurope_9/30/22	OP484685	9/30/22	Western Europe	MPXV/Germany/2022/RKI364
MPXV/Germany/2022/RKI242_WesternEurope_8/31/22	OP215227	8/31/22	Western Europe	MPXV/Germany/2022/RKI242
Monkeypox/PT0593/2022_SouthernEurope_9/14/22	OP555660	9/14/22	Southern Europe	Monkeypox/PT0593/2022
MPXV/Germany/2022/RKI367_WesternEurope_9/30/22	OP484688	9/30/22	Western Europe	MPXV/Germany/2022/RKI367
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00211/2022_NorthAmerica_9/30/22	OP680489	9/30/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00211/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00218/2022_NorthAmerica_10/5/22	OP680496	10/5/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00218/2022
MPXV/Germany/2022/RKI08_WesternEurope_5/1/22	ON682268	5/1/22	Western Europe	MPXV/Germany/2022/RKI08
MPXV/Germany/2022/RKI09_WesternEurope_5/1/22	ON682266	5/1/22	Western Europe	MPXV/Germany/2022/RKI09
hMPXV/Austria/MUW1533948/2022_WesternEurope_7/13/22	OP422340	7/13/22	Western Europe	hMPXV/Austria/MUW1533948/2022
hMPXV/Austria/MUW1540386/2022_WesternEurope_8/8/22	OP422343	8/8/22	Western Europe	hMPXV/Austria/MUW1540386/2022
Monkeypox/PT0576/2022_SouthernEurope_9/5/22	OP555647	9/5/22	Southern Europe	Monkeypox/PT0576/2022
Monkeypox/PT0563/2022_SouthernEurope_9/5/22	OP555634	9/5/22	Southern Europe	Monkeypox/PT0563/2022
MPXV/Germany/2022/RKI338_WesternEurope_7/1/22	OP696841	7/1/22	Western Europe	MPXV/Germany/2022/RKI338
MpxV/human/CAN/UN-NML-2884/2022_NorthAmerica_5/20/22	ON803432	5/20/22	North America	MpxV/human/CAN/UN-NML-2884/2022
MPXV_UK_2022_9000137_WesternEurope_7/7/22	OP205102	7/7/22	Western Europe	MPXV_UK_2022_9000137
RNA_3bkxty_CentralEurope_8/9/22	OX297403	8/9/22	Central Europe	RNA_3bkxty
RNA_12i2rs_CentralEurope_7/20/22	OX261749	7/20/22	Central Europe	RNA_12i2rs
Monkeypox/PT0583/2022_SouthernEurope_8/2/22	OP555653	8/2/22	Southern Europe	Monkeypox/PT0583/2022
Monkeypox/PT0459/2022_SouthernEurope_8/4/22	OP555540	8/4/22	Southern Europe	Monkeypox/PT0459/2022
RNA_112m5z_CentralEurope_7/25/22	OX291435	7/25/22	Central Europe	RNA_112m5z
RNA_1js3p9_CentralEurope_7/25/22	OX291424	7/25/22	Central Europe	RNA_1js3p9
MpxV/human/CAN/UN-NML-3611/2022_NorthAmerica_6/9/22	OP013011	6/9/22	North America	MpxV/human/CAN/UN-NML-3611/2022
MpxV/human/CAN/UN-NML-3518/2022_NorthAmerica_6/7/22	OP013004	6/7/22	North America	MpxV/human/CAN/UN-NML-3518/2022
MPXV-BY-IMB25241_WesternEurope_5/19/22	ON568298	5/19/22	Western Europe	MPXV-BY-IMB25241
MPXV/Germany/2022/RKI243_WesternEurope_8/1/22	OP215206	8/1/22	Western Europe	MPXV/Germany/2022/RKI243
MpxV/Spain/MD-HGUGM-6642566/2022_SouthernEurope_6/21/22	ON927243	6/21/22	Southern Europe	MpxV/Spain/MD-HGUGM-6642566/2022
MPXV_UK_2022_9000074_WesternEurope_6/9/22	OP205079	6/9/22	Western Europe	MPXV_UK_2022_9000074
MPXV_UK_2022_9000107_WesternEurope_6/13/22	OP205095	6/13/22	Western Europe	MPXV_UK_2022_9000107
MPXV_UK_2022_3_WesternEurope_5/25/22	ON619837	5/25/22	Western Europe	MPXV_UK_2022_3
Monkeypox/PT0269/2022_SouthernEurope_6/15/22	OP414309	6/15/22	Southern Europe	Monkeypox/PT0269/2022
Monkeypox/PT0171/2022_SouthernEurope_7/2/22	OP324486	7/2/22	Southern Europe	Monkeypox/PT0171/2022
Monkeypox/PT0149/2022_SouthernEurope_7/6/22	OP324466	7/6/22	Southern Europe	Monkeypox/PT0149/2022
MPXV_UK_2022_9000191_WesternEurope_7/4/22	OP205136	7/4/22	Western Europe	MPXV_UK_2022_9000191
MPX_wQMHV0_9000204_WesternEurope_7/1/22	OP415185	7/1/22	Western Europe	MPX_wQMHV0_9000204
Monkeypox/PT0188/2022_SouthernEurope_6/28/22	OP324502	6/28/22	Southern Europe	Monkeypox/PT0188/2022
RNA_28dbof_CentralEurope_8/31/22	OX336038	8/31/22	Central Europe	RNA_28dbof
RNA_78gxlo_CentralEurope_8/1/22	OX291694	8/1/22	Central Europe	RNA_78gxlo
hMpxV/USA/CA-CDPH-1000090/2022_NorthAmerica_11/8/22	OQ121043	11/8/22	North America	hMpxV/USA/CA-CDPH-1000090/2022
MPXV/Germany/2022/ON/RKI449_WesternEurope_9/1/22	OP615325	9/1/22	Western Europe	MPXV/Germany/2022/ON/RKI449
RNA_5kn97x_CentralEurope_7/25/22	OX291780	7/25/22	Central Europe	RNA_5kn97x
RNA_2u1axs_CentralEurope_8/1/22	OX291676	8/1/22	Central Europe	RNA_2u1axs
MPXV/Human/USA/CA-CDPH-MPX000009/2022_NorthAmerica_6/30/22	OP580156	6/30/22	North America	MPXV/Human/USA/CA-CDPH-MPX000009/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00264/2022_NorthAmerica_9/7/22	OP748950	9/7/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00264/2022
hMPX/Human/USA/CA-LACPHL-MA00067/2022_NorthAmerica_8/17/22	OP442543	8/17/22	North America	hMPX/Human/USA/CA-LACPHL-MA00067/2022
MPXV/Germany/2022/RKI333_WesternEurope_9/30/22	OP373391	9/30/22	Western Europe	MPXV/Germany/2022/RKI333
MPX_KMgssq_9000236_WesternEurope_7/1/22	OP415210	7/1/22	Western Europe	MPX_KMgssq_9000236
MPX_KMgssq_9000237_WesternEurope_7/1/22	OP415211	7/1/22	Western Europe	MPX_KMgssq_9000237
Monkeypox/PT0241/2022_SouthernEurope_6/21/22	OP414285	6/21/22	Southern Europe	Monkeypox/PT0241/2022
Monkeypox/PT0307/2022_SouthernEurope_6/7/22	OP414341	6/7/22	Southern Europe	Monkeypox/PT0307/2022
MPX/PT0119/2022_SouthernEurope_7/13/22	OP245352	7/13/22	Southern Europe	MPX/PT0119/2022
hMpxV/USA/CA-CDPH-1000073/2022_NorthAmerica_11/6/22	OQ121027	11/6/22	North America	hMpxV/USA/CA-CDPH-1000073/2022
hMPXV/Austria/MUW1539124/2022_WesternEurope_8/2/22	OP422342	8/2/22	Western Europe	hMPXV/Austria/MUW1539124/2022
hMPXV/Austria/MUW1538395/2022_WesternEurope_8/1/22	OP422341	8/1/22	Western Europe	hMPXV/Austria/MUW1538395/2022
hMPXV/Austria/MUW1536480/2022_WesternEurope_7/22/22	OP133007	7/22/22	Western Europe	hMPXV/Austria/MUW1536480/2022
Monkeypox/PT0542/2022_SouthernEurope_8/23/22	OP555613	8/23/22	Southern Europe	Monkeypox/PT0542/2022
Monkeypox/PT0512/2022_SouthernEurope_8/16/22	OP555584	8/16/22	Southern Europe	Monkeypox/PT0512/2022
MPXV/Germany/2022/RKI425_WesternEurope_9/1/22	OP594189	9/1/22	Western Europe	MPXV/Germany/2022/RKI425
MPXV/Germany/2022/RKI370_WesternEurope_9/1/22	OP484691	9/1/22	Western Europe	MPXV/Germany/2022/RKI370
MPXV/Germany/2022/RKI356_WesternEurope_9/30/22	OP484677	9/30/22	Western Europe	MPXV/Germany/2022/RKI356
Slovenia-MPXV-18-2022_CentralEurope_7/31/22	OP605560	7/31/22	Central Europe	Slovenia-MPXV-18-2022
Slovenia-MPXV-32-2022_CentralEurope_7/7/22	OP605574	7/7/22	Central Europe	Slovenia-MPXV-32-2022
Slovenia-MPXV-20-2022_CentralEurope_7/31/22	OP605562	7/31/22	Central Europe	Slovenia-MPXV-20-2022
Monkeypox/PT0575/2022_SouthernEurope_9/6/22	OP555646	9/6/22	Southern Europe	Monkeypox/PT0575/2022
Monkeypox/PT0571/2022_SouthernEurope_9/5/22	OP555642	9/5/22	Southern Europe	Monkeypox/PT0571/2022
Monkeypox/PT0565/2022_SouthernEurope_9/5/22	OP555636	9/5/22	Southern Europe	Monkeypox/PT0565/2022
Monkeypox/PT0455/2022_SouthernEurope_8/4/22	OP555536	8/4/22	Southern Europe	Monkeypox/PT0455/2022
Monkeypox/PT0476/2022_SouthernEurope_8/9/22	OP555555	8/9/22	Southern Europe	Monkeypox/PT0476/2022
Monkeypox/PT0467/2022_SouthernEurope_8/5/22	OP555546	8/5/22	Southern Europe	Monkeypox/PT0467/2022
MPXV/Germany/2022/ON/RKI503_WesternEurope_8/1/22	OP689656	8/1/22	Western Europe	MPXV/Germany/2022/ON/RKI503
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00230/2022_NorthAmerica_10/3/22	OP680508	10/3/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00230/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00229/2022_NorthAmerica_10/3/22	OP680507	10/3/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00229/2022
MPX_1bN2W6_9000258_WesternEurope_8/1/22	OP415227	8/1/22	Western Europe	MPX_1bN2W6_9000258
MPX_1bN2W6_9000321_WesternEurope_8/1/22	OP415261	8/1/22	Western Europe	MPX_1bN2W6_9000321
MPX_1bN2W6_9000324_WesternEurope_8/1/22	OP415263	8/1/22	Western Europe	MPX_1bN2W6_9000324
MPXV_UK_2022_5_WesternEurope_5/16/22	OP022170	5/16/22	Western Europe	MPXV_UK_2022_5
MPX_ElGfGw_9000328_WesternEurope_8/31/22	OP415266	8/31/22	Western Europe	MPX_ElGfGw_9000328
MPXV_UK_2022_9000142_WesternEurope_6/15/22	OP205105	6/15/22	Western Europe	MPXV_UK_2022_9000142
MPX/PT0127/2022_SouthernEurope_7/12/22	OP245360	7/12/22	Southern Europe	MPX/PT0127/2022
Monkeypox/PT0168/2022_SouthernEurope_7/3/22	OP324483	7/3/22	Southern Europe	Monkeypox/PT0168/2022
Monkeypox/PT0139/2022_SouthernEurope_7/11/22	OP324460	7/11/22	Southern Europe	Monkeypox/PT0139/2022
Monkeypox/PT0383/2022_SouthernEurope_7/12/22	OP555479	7/12/22	Southern Europe	Monkeypox/PT0383/2022
Monkeypox/PT0373/2022_SouthernEurope_7/5/22	OP555469	7/5/22	Southern Europe	Monkeypox/PT0373/2022
Monkeypox/PT0460/2022_SouthernEurope_8/4/22	OP555541	8/4/22	Southern Europe	Monkeypox/PT0460/2022
Monkeypox/PT0426/2022_SouthernEurope_7/31/22	OP555513	7/31/22	Southern Europe	Monkeypox/PT0426/2022
MPXV_USA_2022_FL0026_NorthAmerica_9/1/22	OP881945	9/1/22	North America	MPXV_USA_2022_FL0026
NJ-MPXV-024_NorthAmerica_7/8/22	OP879742	7/8/22	North America	NJ-MPXV-024
MPXV_USA_2022_NY0029_NorthAmerica_7/8/22	OP687939	7/8/22	North America	MPXV_USA_2022_NY0029
MPXV/Germany/2022/RKI236_WesternEurope_8/31/22	OP215260	8/31/22	Western Europe	MPXV/Germany/2022/RKI236
MPXV/Germany/2022/ON/RKI634_WesternEurope_8/2/22	OQ159029	8/2/22	Western Europe	MPXV/Germany/2022/ON/RKI634
MPXV/Germany/2022/RKI269_WesternEurope_8/2/22	OP215271	8/2/22	Western Europe	MPXV/Germany/2022/RKI269
MPXV/Germany/2022/RKI198_WesternEurope_8/31/22	OP215209	8/31/22	Western Europe	MPXV/Germany/2022/RKI198
Monkeypox/PT0136/2022_SouthernEurope_7/10/22	OP324459	7/10/22	Southern Europe	Monkeypox/PT0136/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00281/2022_NorthAmerica_10/18/22	OP748967	10/18/22	North America	Monkeypox virus/Human/USA/CA-LACPHL-MA00281/2022
Monkeypox/PT0591/2022_SouthernEurope_9/13/22	OP555658	9/13/22	Southern Europe	Monkeypox/PT0591/2022
ANT-LDSP-ANT-MPX-24387-C_SouthAmerica_9/6/22	OP642390	9/6/22	South America	ANT-LDSP-ANT-MPX-24387-C
ANT-LDSP-ANT-MPX-25497E_SouthAmerica_9/14/22	OP642419	9/14/22	South America	ANT-LDSP-ANT-MPX-25497E
ANT-LDSP-ANT-MPX-25341C_SouthAmerica_9/13/22	OP642413	9/13/22	South America	ANT-LDSP-ANT-MPX-25341C
ANT-LDSP-ANT-MPX-25285O_SouthAmerica_9/13/22	OP642408	9/13/22	South America	ANT-LDSP-ANT-MPX-25285O
hMPX/Human/USA/CA-LACPHL-MA00026/2022_NorthAmerica_7/21/22	OP440599	7/21/22	North America	hMPX/Human/USA/CA-LACPHL-MA00026/2022
