strain_country_date	accession	date	region_coarse	country	strain
Slovenia-MPXV-09-2022_Slovenia_2022-06-01	OP605552	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-09-2022
Slovenia-MPXV-08-2022_Slovenia_2022-06-01	OP605551	2022-06-01	Central Europe	Slovenia	Slovenia-MPXV-08-2022
MPXV_SI2022_S4_Slovenia_2022-06-01	ON754985	2022-06-01	Central Europe	Slovenia	MPXV_SI2022_S4
Slovenia-MPXV-26-2022_Slovenia_2022-07-31	OP605568	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-26-2022
MPXV/Spain/HUNSC_ITER_0001a/2022_Spain_2022-05-31	ON782054	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001a/2022
MPXV/Spain/HUNSC_ITER_0001b/2022_Spain_2022-05-31	ON782055	2022-05-31	Southern Europe	Spain	MPXV/Spain/HUNSC_ITER_0001b/2022
MPXV_FR_HCL0001_2022_France_2022-05-22	ON622722	2022-05-22	Western Europe	France	MPXV_FR_HCL0001_2022
Slovenia-MPXV-18-2022_Slovenia_2022-07-31	OP605560	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-18-2022
Slovenia-MPXV-20-2022_Slovenia_2022-07-24	OP605562	2022-07-24	Central Europe	Slovenia	Slovenia-MPXV-20-2022
MPXV_SI2022_S1_VEROE6_Slovenia_2022-05-23	ON754987	2022-05-23	Central Europe	Slovenia	MPXV_SI2022_S1_VEROE6
SLO_Slovenia_2022-05-23	ON609725	2022-05-23	Central Europe	Slovenia	SLO
MPXV/ITM_pt_31/Belgium/27-May-2022_Belgium_2022-05-27	ON950045	2022-05-27	Western Europe	Belgium	MPXV/ITM_pt_31/Belgium/27-May-2022
MPXV/ITM_pt_25/Belgium/16-Jun-2022_Belgium_2022-06-16	OP144214	2022-06-16	Western Europe	Belgium	MPXV/ITM_pt_25/Belgium/16-Jun-2022
MPXV/ITM_pt_16/Belgium/10-Jun-2022_Belgium_2022-06-10	OP144212	2022-06-10	Western Europe	Belgium	MPXV/ITM_pt_16/Belgium/10-Jun-2022
Slovenia-MPXV-28-2022_Slovenia_2022-07-13	OP605570	2022-07-13	Central Europe	Slovenia	Slovenia-MPXV-28-2022
Slovenia-MPXV-36-2022_Slovenia_2022-07-31	OP605578	2022-07-31	Central Europe	Slovenia	Slovenia-MPXV-36-2022
Slovenia-MPXV-40-2022_Slovenia_2022-08-01	OP605581	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-40-2022
Slovenia-MPXV-44-2022_Slovenia_2022-08-01	OP605585	2022-08-01	Central Europe	Slovenia	Slovenia-MPXV-44-2022
MPX_Fap1fz_9000235_UnitedKingdom_2022-07-31	OP415209	2022-07-31	Western Europe	United Kingdom	MPX_Fap1fz_9000235
MPXV_USA_2022_WA001_USA_2022-05-01	OP150927	2022-05-01	North America	USA	MPXV_USA_2022_WA001
MPXV_UK_2022_9000162_UnitedKingdom_2022-07-07	OP205120	2022-07-07	Western Europe	United Kingdom	MPXV_UK_2022_9000162
MPXV_UK_2022_9000100_UnitedKingdom_2022-06-09	OP205088	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000100
MPXV_UK_2022_9000186_UnitedKingdom_2022-06-29	OP205131	2022-06-29	Western Europe	United Kingdom	MPXV_UK_2022_9000186
MPXV/Germany/2022/RKI135_Germany_2022-07-01	ON929090	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI135
MPXV/Germany/2022/RKI584_Germany_2022-06-01	OP837346	2022-06-01	Western Europe	Germany	MPXV/Germany/2022/RKI584
MPXV_UK_2022_9000072_UnitedKingdom_2022-06-09	OP205078	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000072
MPXV/Germany/2022/RKI343_Germany_2022-09-01	OP484665	2022-09-01	Western Europe	Germany	MPXV/Germany/2022/RKI343
Monkeypox/PT0522/2022_Portugal_2022-08-18	OP555593	2022-08-18	Southern Europe	Portugal	Monkeypox/PT0522/2022
MPXV_UK_2022_9000101_UnitedKingdom_2022-06-09	OP205089	2022-06-09	Western Europe	United Kingdom	MPXV_UK_2022_9000101
MPXV/Germany/2022/RKI167_Germany_2022-07-01	OP018593	2022-07-01	Western Europe	Germany	MPXV/Germany/2022/RKI167
MPXV/Germany/2022/RKI281_Germany_2022-08-01	OP263636	2022-08-01	Western Europe	Germany	MPXV/Germany/2022/RKI281
MpxV/human/CAN/UN-NML-4117/2022_Canada_2022-06-28	OP279039	2022-06-28	North America	Canada	MpxV/human/CAN/UN-NML-4117/2022
MPXV/Germany/2022/RKI166_Germany_2022-07-04	OP018592	2022-07-04	Western Europe	Germany	MPXV/Germany/2022/RKI166
MPXV_USA_2022_TX0030_USA_2022-08-24	OP881952	2022-08-24	North America	USA	MPXV_USA_2022_TX0030
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00389/2022_USA_2022-12-12	OQ330996	2022-12-12	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00389/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00390/2022_USA_2022-12-14	OQ330997	2022-12-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00390/2022
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00382/2022_USA_2022-10-14	OQ330988	2022-10-14	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022
MPX/Human/USA/CA-LACPHL-MA00125/2022_USA_2022-09-09	OP539910	2022-09-09	North America	USA	MPX/Human/USA/CA-LACPHL-MA00125/2022
MPXV_UK_2022_9000092_UnitedKingdom_2022-05-25	OP205083	2022-05-25	Western Europe	United Kingdom	MPXV_UK_2022_9000092
NJ-MPXV-047_USA_2022-07-21	OP879761	2022-07-21	North America	USA	NJ-MPXV-047
hMpxV/Human/USA/IL-RIPHL-MPXV_10010/2022_USA_2022-08-11	OP820459	2022-08-11	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10010/2022
MpxV/human/USA/WA-UW-102951/2022_USA_2022-10-01	OP743995	2022-10-01	North America	USA	MpxV/human/USA/WA-UW-102951/2022
hMPX/Human/USA/CA-LACPHL-MA00041/2022_USA_2022-07-21	OP440534	2022-07-21	North America	USA	hMPX/Human/USA/CA-LACPHL-MA00041/2022
MPXV/Germany/2022/RKI632_Germany_2022-11-30	OQ159027	2022-11-30	Western Europe	Germany	MPXV/Germany/2022/RKI632
MPXV/Human/USA/CA-LACPHL-MA00295/2022_USA_2022-11-01	OP890528	2022-11-01	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00295/2022
B1221120_USA_2022-11-09	OP935997	2022-11-09	North America	USA	B1221120
hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022_USA_2022-09-10	OP820460	2022-09-10	North America	USA	hMpxV/Human/USA/IL-RIPHL-MPXV_10011/2022
Slovenia-MPXV-42-2022_Slovenia_2022-08-18	OP605583	2022-08-18	Central Europe	Slovenia	Slovenia-MPXV-42-2022
MPX_L6rBi6_9000265_UnitedKingdom_2022-08-31	OP415234	2022-08-31	Western Europe	United Kingdom	MPX_L6rBi6_9000265
MPXV_UK_2022_9000187_UnitedKingdom_2022-06-28	OP205132	2022-06-28	Western Europe	United Kingdom	MPXV_UK_2022_9000187
MPXV/Germany/2022/RKI160_Germany_2022-07-17	ON959151	2022-07-17	Western Europe	Germany	MPXV/Germany/2022/RKI160
Monkeypoxvirus/Human/USA/CA-LACPHL-MA00386/2022_USA_2022-10-25	OQ330994	2022-10-25	North America	USA	Monkeypox virus/Human/USA/CA-LACPHL-MA00386/2022
MPXV/Human/USA/CA-LACPHL-MA00342/2022_USA_2022-10-26	OP920680	2022-10-26	North America	USA	MPXV/Human/USA/CA-LACPHL-MA00342/2022
