accession	strain_region_coarse_date
ON843163	Monkeypox/PT0048/2022_SouthernEurope_2022-05-13	accession
ON682270	MPXV/Germany/2022/RKI06_WesternEurope_2022-05-01	accession
OX261748	RNA_6370ga_CentralEurope_2022-07-13	accession
OP339848	MPXV/Germany/2022/RKI291_WesternEurope_2022-08-01	accession
OP414331	Monkeypox/PT0297/2022_SouthernEurope_2022-06-08	accession
OP414299	Monkeypox/PT0258/2022_SouthernEurope_2022-06-19	accession
ON622720	MPXV-CH-38156923/2022_WesternEurope_2022-05-24	accession
OP536691	MPXV-USA-IL-IDPH-030_NorthAmerica_2022-06-14	accession
OP442938	MpxV/human/USA/OH-UW-071048/2022_NorthAmerica_2022-07-01	accession
ON649717	Monkeypox/PT0019/2022_SouthernEurope_2022-05-21	accession
OP245324	MPX/PT0070/2022_SouthernEurope_2022-07-26	accession
OP615263	MPX/Human/USA/CA-LACPHL-MA00190/2022_NorthAmerica_2022-07-17	accession
OP414360	Monkeypox/PT0328/2022_SouthernEurope_2022-05-31	accession
OP555530	Monkeypox/PT0449/2022_SouthernEurope_2022-08-03	accession
OP324518	Monkeypox/PT0208/2022_SouthernEurope_2022-06-24	accession
OP382490	hMPXV-IHU00013_WesternEurope_2022-07-20	accession
OP414336	Monkeypox/PT0302/2022_SouthernEurope_2022-06-07	accession
OP324510	Monkeypox/PT0197/2022_SouthernEurope_2022-06-28	accession
OP748963	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00277/2022_NorthAmerica_2022-10-13	accession
OP605566	Slovenia-MPXV-24-2022_CentralEurope_2022-07-01	accession
OP245313	MPX/PT0057/2022_SouthernEurope_2022-07-28	accession
OP615268	MPX/Human/USA/CA-LACPHL-MA00195/2022_NorthAmerica_2022-07-20	accession
OP539906	MPX/Human/USA/CA-LACPHL-MA00121/2022_NorthAmerica_2022-09-12	accession
ON929083	MPXV/Germany/2022/RKI128_WesternEurope_2022-07-01	accession
OP680512	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00234/2022_NorthAmerica_2022-07-12	accession
OP062230	MpxV/human/CAN/UN-NML-3864/2022_NorthAmerica_2022-06-22	accession
OP324534	Monkeypox/PT0224/2022_SouthernEurope_2022-06-23	accession
OP440594	hMPX/Human/USA/CA-LACPHL-MA00023/2022_NorthAmerica_2022-07-04	accession
OP414384	Monkeypox/PT0357/2022_SouthernEurope_2022-06-21	accession
ON843177	Monkeypox/PT0047/2022_SouthernEurope_2022-06-02	accession
OP689672	MPXV/Germany/2022/RKI519_WesternEurope_2022-06-01	accession
OP451013	MPXV_USA_2022_CA0057_NorthAmerica_2022-06-01	accession
OP450992	MPXV_USA_2022_TN0005_NorthAmerica_2022-07-01	accession
OP415281	MPX_hSAaEl_9000356_WesternEurope_2022-08-01	accession
ON803421	MpxV/human/CAN/UN-NML-2849/2022_NorthAmerica_2022-05-19	accession
OP257252	MpxV/human/USA/WA-UW-085937/2022_NorthAmerica_2022-08-01	accession
OP752120	MPXV_USA_2022_TN0007_NorthAmerica_2022-07-01	accession
OP378703	MPXV_USA_2022_HI0003_NorthAmerica_2022-06-01	accession
OP440560	hMPX/Human/USA/CA-LACPHL-MA00060/2022_NorthAmerica_2022-07-26	accession
OP215281	MPXV/Germany/2022/RKI262_WesternEurope_2022-08-01	accession
OP752121	MPXV_USA_2022_TX0028_NorthAmerica_2022-07-01	accession
OP555466	Monkeypox/PT0370/2022_SouthernEurope_2022-07-03	accession
ON808415	CVR_MPXV1c_WesternEurope_2022-05-15	accession
OP205135	MPXV_UK_2022_9000190_WesternEurope_2022-07-06	accession
OP603008	MPXV_USA_2022_NY0022_NorthAmerica_2022-07-01	accession
OP133006	hMPXV/Austria/MUW1532243/2022_WesternEurope_2022-07-06	accession
OP415191	MPX_IMt4nT_9000212_WesternEurope_2022-07-01	accession
OP303794	MPXV_USA_2022_NY0023_NorthAmerica_2022-06-01	accession
OP555523	Monkeypox/PT0439/2022_SouthernEurope_2022-08-01	accession
OP605582	Slovenia-MPXV-41-2022_CentralEurope_2022-08-01	accession
OP536730	MPXV-USA-IL-IDPH-069_NorthAmerica_2022-06-28	accession
OP523995	MPXV/Germany/2022/RKI393_WesternEurope_2022-09-01	accession
ON649715	Monkeypox/PT0017/2022_SouthernEurope_2022-05-20	accession
ON649712	Monkeypox/PT0025/2022_SouthernEurope_2022-05-19	accession
OP715833	MPXV/Germany/2022/RKI553_WesternEurope_2022-06-01	accession
OP555499	Monkeypox/PT0403/2022_SouthernEurope_2022-07-19	accession
OP205134	MPXV_UK_2022_9000189_WesternEurope_2022-07-06	accession
OP604528	MPXV_USA_2022_MD0003_NorthAmerica_2022-06-01	accession
OP594206	MPXV/Germany/2022/RKI442_WesternEurope_2022-09-01	accession
OP415259	MPX_VghSe2_9000318_WesternEurope_2022-08-01	accession
OP013015	MpxV/human/CAN/UN-NML-3674/2022_NorthAmerica_2022-06-13	accession
ON585031	Monkeypox/PT0003/2022_SouthernEurope_2022-05-15	accession
OP415226	MPX_k9tr7U_9000256_WesternEurope_2022-08-01	accession
ON880521	MpxV/human/CAN/UN-NML-2858/2022_NorthAmerica_2022-05-19	accession
ON803435	MpxV/human/CAN/UN-NML-2893/2022_NorthAmerica_2022-05-20	accession
OP863221	hMpxV/USA/CA-CDPH-000046/2022_NorthAmerica_2022-07-05	accession
OP863258	MPXV/Germany/2022/ON/RKI608_WesternEurope_2022-09-30	accession
OP879728	NJ-MPXV-007-rpt1_NorthAmerica_2022-08-05	accession
OP605559	Slovenia-MPXV-17-2022_CentralEurope_2022-07-01	accession
OP715825	MPXV/Germany/2022/RKI545_WesternEurope_2022-06-01	accession
OP245316	MPX/PT0062/2022_SouthernEurope_2022-08-01	accession
OP536686	MPXV-USA-IL-IDPH-025_NorthAmerica_2022-06-09	accession
OP555521	Monkeypox/PT0437/2022_SouthernEurope_2022-08-02	accession
OP555464	Monkeypox/PT0367/2022_SouthernEurope_2022-06-27	accession
OP715827	MPXV/Germany/2022/RKI547_WesternEurope_2022-06-01	accession
OP879764	NJ-MPXV-050_NorthAmerica_2022-07-01	accession
ON585032	Monkeypox/PT0004/2022_SouthernEurope_2022-05-17	accession
OP310059	MpxV/human/USA/OH-UW-089521/2022_NorthAmerica_2022-08-01	accession
ON843169	Monkeypox/PT0034/2022_SouthernEurope_2022-05-26	accession
OP748947	Monkeypoxvirus/Human/USA/CA-LACPHL-MA00261/2022_NorthAmerica_2022-09-23	accession
OP414302	Monkeypox/PT0262/2022_SouthernEurope_2022-06-17	accession
OP837349	MPXV/Germany/2022/RKI587_WesternEurope_2022-06-01	accession
OP414342	Monkeypox/PT0308/2022_SouthernEurope_2022-06-06	accession
OP628464	MpxV/human/USA/WA-UW-085249/2022_NorthAmerica_2022-08-01	accession
OP414374	Monkeypox/PT0345/2022_SouthernEurope_2022-05-26	accession
OP324488	Monkeypox/PT0173/2022_SouthernEurope_2022-06-30	accession
OP414312	Monkeypox/PT0272/2022_SouthernEurope_2022-06-15	accession
OP245359	MPX/PT0126/2022_SouthernEurope_2022-07-14	accession
OP414334	Monkeypox/PT0300/2022_SouthernEurope_2022-06-07	accession
ON880530	MpxV/human/CAN/UN-NML-3162/2022_NorthAmerica_2022-05-29	accession
OP382482	hMPXV-IHU00005_WesternEurope_2022-07-04	accession
ON649725	Monkeypox/PT0011/2022_SouthernEurope_2022-05-23	accession
OP743954	MpxV/human/USA/WA-UW-082153/2022_NorthAmerica_2022-08-01	accession
OP351282	MPXV22/human/USA-OK-67_NorthAmerica_2022-07-19	accession
ON694336	MPXV/Germany/2022/RKI024_WesternEurope_2022-05-01	accession
OP415256	MPX_jTHLhj_9000307_WesternEurope_2022-08-01	accession
OP205107	MPXV_UK_2022_9000144_WesternEurope_2022-06-16	accession
OP257245	MpxV/human/USA/WA-UW-084909/2022_NorthAmerica_2022-08-01	accession
ON880546	MpxV/human/CAN/UN-NML-3368/2022_NorthAmerica_2022-06-02	accession
